"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"KCNH5",2.812516634,2.672261364,2.704533433,2.725325493,2.727295928,2.749168729,2.822220271,2.734881053,2.769230037,2.653339884,2.658275169,2.664708786
"GPHB5",2.84262662,2.805724252,2.68284839,2.768908437,2.770913547,2.793171249,2.867804299,2.77892815,2.813881582,2.69595208,2.700974212,2.707521043
"PPP2R5E",11.82203759,11.55533218,11.57112894,11.7453929,11.6088987,11.62645361,11.69709811,11.84800754,12.03186997,11.75075934,11.85285454,11.66950792
"WDR89",9.693089566,9.376640133,8.574339921,9.328439514,9.180248707,9.118863659,9.909687023,9.757450654,9.416630778,9.273944237,9.266841579,9.319395489
"SGPP1",13.02101279,13.28391721,12.97977043,13.10233865,13.14630293,13.09882573,12.71347494,12.51274584,12.66264654,12.53576483,12.23617651,12.74296995
"ESR2",5.7529278185,5.8915951785,5.9354401285,5.9803906475,5.856541839,5.771948253,6.257684276,5.7558928845,5.944375966,5.368129206,5.37830513,5.3548532165
"AL450992.1",14.92854176,15.33506269,15.17395083,14.99529348,15.15922791,15.31445474,14.47476207,14.33583052,14.50741473,15.76922679,15.69715098,15.86282117
"ZBTB25",7.76097317366667,7.494224485,7.69825604533333,7.880743337,7.66554672333333,7.488308794,7.30517887766667,7.877062088,8.116699396,7.36127396,7.36719858433333,7.235505171
"SPTB",8.768903192,9.302990014,9.478289604,9.634815736,9.194051685,8.741263362,9.085545389,8.902873135,8.627378029,10.26157165,10.36777594,10.06355343
"CHURC1",7.777156691,8.246381335,8.9944022085,8.170202146,8.283706187,8.4172106225,7.8893752035,8.1346122395,8.3333915235,8.2015295065,8.2376524865,8.500488692
"GPX2",5.764695552,6.25892463,6.035409147,5.846190772,5.933964284,6.040857895,5.102163677,5.899496219,6.418864877,5.967143513,6.022507843,6.471345774
"CHURC1-FNTB",6.68632646675,6.84554945475,7.35726073975,6.85740449225,6.95246180375,6.9424039445,6.71770375425,6.830890787,6.9793184465,7.12323537075,7.11991879,7.22490825275
"RAB15",2.66429638,2.738042806,2.816067579,2.734270021,2.736248872,2.758215081,2.831650429,2.743938223,2.778433896,2.662048828,2.667005189,2.673466282
"MAX",8.74432978,8.695856641,7.894342796,8.433187103,8.439312769,8.54579161,8.217446639,8.24509139,8.347384794,7.694499764,7.716781297,7.437933079
"TCHHL1",2.636922429,2.643902431,2.77607981,2.684479582,2.686466469,2.708521877,2.782323729,2.694255349,2.728891099,2.612033425,2.617009912,2.623497241
"AL391261.2",2.672150635,2.674313313,2.673338614,2.672827743,2.674668426,2.695100913,2.762234402,2.680646429,2.712733549,2.604474707,2.609085005,2.615094972
"PUDPP2",4.090591015,3.071390213,2.564092206,3.190890553,3.193148463,3.21821237,3.304375736,3.204294268,3.243654555,3.110856749,3.116512061,3.123884303
"FLG-AS1",3.85932149025,4.010536077,4.15977944325,3.9542064635,3.942875095,4.05743071625,3.65987032675,4.029856644,3.9610860685,4.42578179825,4.352693115,4.49893557175
"HRNR",4.059321403,4.292430656,4.51225032,4.229730377,4.044391045,4.464276982,3.519735285,4.660523177,4.244148162,5.163192263,5.182096019,5.433033201
"ATP6V1D",9.8752465105,9.707263148,9.6932183115,9.756678338,9.7592231325,9.79113648,9.37540718,9.3567753945,9.2822091825,9.5949434525,9.351391957,9.6524163345
"TMEM229B",7.926502799,8.055737375,8.228014582,8.058332665,8.058060067,8.089152704,7.846417964,8.05778845,8.114150562,8.179830315,8.28912676,8.011806822
"PIGH",5.75110554,5.716173489,5.5024885345,5.6637229335,5.702053969,5.6262958495,5.7808259845,5.7515833415,5.765725228,5.406395533,5.4705321055,5.5366597605
"RDH11",11.19707579,10.95002933,11.75664522,11.41805254,11.28689254,11.26143389,10.99545236,10.97899447,10.77004701,10.81187108,10.7777739,10.85518811
"ZFYVE26",7.586863164,7.739863462,7.281183779,7.542336513,7.601891307,7.502609739,7.326200014,7.128922092,7.035579177,7.251302698,7.118921272,7.176830965
