"","turquoise_gene"
"2592","RPS6KA3"
"2593","TBXA2R"
"2594","RPTOR"
"2595","SAPCD1"
"2596","AP1B1"
"2597","CABP1"
"2598","TAF4"
"2599","AC117528.1"
"2600","KIAA0825"
"2601","UGT2A3"
"2602","APPBP2"
"2603","EFCAB14"
"2604","EFCAB14-AS1"
"2605","TBXT"
"2606","TMEM101"
"2607","METAP1"
"2608","TMEM138"
"2609","XYLT1"
"2610","ALG14"
"2611","ZNF470"
"2612","AC005786.3"
"2613","ATG9A"
"2614","SLC25A38"
"2615","CENPL"
"2616","NOMO2"
"2617","HLX"
"2618","ZNF320"
"2619","FAM167A"
"2620","FAM167A-AS1"
"2621","DEAF1"
"2622","TMEM80"
"2623","PAPOLG"
"2624","RHD"
"2625","AC073343.1"
"2626","DDX23"
"2627","NUDT10"
"2628","AC233976.1"
"2629","PTPN13"
"2630","NCOA2"
"2631","EFNA3"
"2632","MOV10"
"2633","AC064807.1"
"2634","SNU13"
"2635","REEP1"
"2636","CCDC28A"
"2637","THY1"
"2638","USP2-AS1"
"2639","ZFAND4"
"2640","VN1R1"
"2641","DDX60L"
"2642","RAB24"
"2643","PCDHB17P"
"2644","PITPNB"
"2645","KIF1A"
"2646","PPAN-P2RY11"
"2647","PPAN"
"2648","MAGEB17"
"2649","NLRP7"
"2650","SLC5A11"
"2651","SCIN"
"2652","ADGRE1"
"2653","NSUN6"
"2654","HSPA2"
"2655","HHEX"
"2656","ARMH1"
"2657","DIAPH1"
"2658","PTPN22"
"2659","AL137856.1"
"2660","FXN"
"2661","BANP"
"2662","ERLIN1"
"2663","PCGF3"
"2664","PRDM5"
"2665","BPIFB1"
"2666","BDP1"
"2667","SCYL2"
"2668","BCL2"
"2669","CCDC174"
"2670","ANGPT2"
"2671","HERC6"
"2672","AL356599.1"
"2673","IL33"
"2674","TMCO3"
"2675","ECEL1"
"2676","AC055855.1"
"2677","DIS3L"
"2678","RFFL"
"2679","TMEM35B"
"2680","MTO1"
"2681","BAP1"
"2682","RYR1"
"2683","ZNF286A"
"2684","ZNF606"
"2685","EXOSC3"
"2686","KCNJ10"
"2687","CMTM3"
"2688","AL035416.1"
"2689","FGGY"
"2690","RCAN2"
"2691","SFTA3"
"2692","AC073612.1"
"2693","THAP2"
"2694","SCARF1"
"2695","GLUD1"
"2696","BDKRB1"
"2697","AL355102.4"
"2698","MOB3B"
"2699","TEX52"
"2700","APOL1"
"2701","FAM49A"
"2702","AC104623.1"
"2703","HRG"
"2704","PINK1"
"2705","PINK1-AS"
"2706","ME2"
"2707","CELF1"
"2708","FAM131B"
"2709","EFS"
"2710","RTL10"
"2711","HTR7"
"2712","PRR14"
"2713","HECTD2"
"2714","MRPL18"
"2715","SLC38A1"
"2716","C17orf53"
"2717","GAREM1"
"2718","LNPEP"
"2719","UBP1"
"2720","GTPBP2"
"2721","FAM8A1"
"2722","SLAMF7"
"2723","AL022318.4"
"2724","AC022150.1"
"2725","ZNF701"
"2726","SCAF11"
"2727","CWC27"
"2728","BOD1L1"
"2729","TRRAP"
"2730","NRBF2"
"2731","ADSSL1"
"2732","DCST1"
"2733","ZNF446"
"2734","EAF1"
"2735","UNG"
"2736","KCNQ1"
"2737","RPL28"
"2738","KCNA1"
"2739","AC005906.2"
"2740","KLRC4-KLRK1"
"2741","KEAP1"
"2742","RFPL2"
"2743","HIST2H2BF"
"2744","MED15"
"2745","CSTF2"
"2746","CUEDC1"
"2747","AC106886.4"
"2748","RNF40"
"2749","LFNG"
"2750","ESR1"
"2751","SLC39A2"
"2752","ANKRD44"
"2753","RHCG"
"2754","SPINK6"
"2755","CELF5"
"2756","RNF31"
"2757","SIGLEC12"
"2758","GEMIN4"
"2759","ARMC6"
"2760","AL021997.3"
"2761","ZSCAN26"
"2762","DAAM1"
"2763","SMG9"
"2764","ATAD2B"
"2765","EOGT"
"2766","KRTAP10-5"
"2767","KXD1"
"2768","RWDD2B"
"2769","ARL16"
"2770","AL355877.3"
"2771","AL355877.1"
"2772","AC008267.3"
"2773","AC006001.3"
"2774","SHQ1"
"2775","MCM8"
"2776","MCM8-AS1"
"2777","MAP2K4"
"2778","APOBEC3D"
"2779","AC113554.1"
"2780","ACE"
"2781","DYRK1B"
"2782","TSPAN33"
"2783","KCNN4"
"2784","NPIPB5"
"2785","FOXO1"
"2786","TVP23B"
"2787","TNFAIP2"
"2788","CYP4F22"
"2789","HMG20A"
"2790","KIF21A"
"2791","TRAF5"
"2792","FAM76B"
"2793","AC245748.2"
"2794","ZNF229"
"2795","ZC2HC1A"
"2796","YEATS2"
"2797","PKP4"
"2798","PKP4-AS1"
"2799","E2F3"
"2800","PSG1"
"2801","KCTD9"
"2802","GRWD1"
"2803","GRIK1"
"2804","CHAF1B"
"2805","SCART1"
"2806","MCOLN2"
"2807","NR1I2"
"2808","SLC9A5"
"2809","AC024270.4"
"2810","AC024270.2"
"2811","BTBD1"
"2812","PTGER3"
"2813","CRYM"
"2814","CD27-AS1"
"2815","CD27"
"2816","PALLD"
"2817","FKBP1A"
"2818","EPS8L2"
"2819","PDXP"
"2820","AC019171.1"
"2821","UPF1"
"2822","TG"
"2823","THNSL1"
"2824","MYH7"
"2825","MYH6"
"2826","FAAH"
"2827","TIAF1"
"2828","AMBRA1"
"2829","AGAP6"
"2830","AL442003.1"
"2831","THAP6"
"2832","UBE2F-SCLY"
"2833","SCLY"
"2834","PDE6B"
"2835","KRT8"
"2836","TAS2R39"
"2837","HIST2H4A"
"2838","AC012309.1"
"2839","CFAP44"
"2840","PDIK1L"
"2841","TUBA4A"
"2842","TAPT1"
"2843","PRPF38A"
"2844","ATP11AUN"
"2845","AC073548.1"
"2846","NAPA"
"2847","NAPA-AS1"
"2848","HSD17B4"
"2849","DUSP14"
"2850","ANKZF1"
"2851","ATN1"
"2852","CAB39"
"2853","SHISA3"
"2854","PPP2R3A"
"2855","AC015871.1"
"2856","LINC01550"
"2857","RBPMS2"
"2858","AGAP9"
"2859","NLRP9"
"2860","OR2T8"
"2861","SPNS2"
"2862","ATP2A2"
"2863","GPR132"
"2864","ZNF549"
"2865","CIR1"
"2866","CELF4"
"2867","SMR3B"
"2868","RIBC1"
"2869","FAM98C"
"2870","LETMD1"
"2871","RCVRN"
"2872","RUNX2"
"2873","C12orf75"
"2874","WDR86"
"2875","LRP6"
"2876","SLC10A1"
"2877","YIPF6"
"2878","GPATCH2L"
"2879","HERC1"
"2880","ADAR"
"2881","TRPC4AP"
"2882","TFR2"
"2883","USP40"
"2884","AP000679.1"
"2885","ZNF345"
"2886","CDH24"
"2887","DGKZ"
"2888","RHBDF1"
"2889","AC093827.5"
"2890","C4orf36"
"2891","RGS16"
"2892","ZNF471"
"2893","CHRNB3"
"2894","ZDHHC21"
"2895","BICD1"
"2896","TBC1D10C"
"2897","NAT1"
"2898","RPRD1B"
"2899","DRAP1"
"2900","TRIM16L"
"2901","TCF12"
"2902","CCDC50"
"2903","AL356124.1"
"2904","LAMA2"
"2905","AARS2"
"2906","ISM1"
"2907","SMPD1"
"2908","SLC2A6"
"2909","STK26"
"2910","UBXN6"
"2911","AC002116.2"
"2912","ZNF846"
"2913","CRISP3"
"2914","CLDN11"
"2915","SLC6A12"
"2916","ERBB2"
"2917","ZNF143"
"2918","DPEP2"
"2919","C14orf28"
"2920","AL049870.3"
"2921","GABRA6"
"2922","ZNF675"
"2923","YOD1"
"2924","GPRC5B"
"2925","SERPINE2"
"2926","PLCE1"
"2927","LILRB1-AS1"
"2928","WDR7"
"2929","MAEL"
"2930","AC109460.3"
"2931","ZSWIM5"
"2932","WRNIP1"
"2933","PCGF2"
"2934","TLE3"
"2935","C12orf76"
"2936","EIF2B5"
"2937","RNF20"
"2938","SNTB2"
"2939","XXYLT1"
"2940","STRADB"
"2941","ASCC1"
"2942","UCN3"
"2943","TRIM11"
"2944","GNPTAB"
"2945","MRGPRX1"
"2946","TMEM192"
"2947","TIMD4"
"2948","AC009292.2"
"2949","SKOR1"
"2950","PPL"
"2951","RRN3"
"2952","SHANK3"
"2953","FRY"
"2954","SCUBE3"
"2955","STX12"
"2956","AC004951.4"
"2957","RIC8B"
"2958","TCERG1"
"2959","UCN"
"2960","SKI"
"2961","POU2AF1"
"2962","AP002008.2"
"2963","AP000974.1"
"2964","IL1RN"
"2965","C7orf31"
"2966","TAPT1-AS1"
"2967","RPEL1"
"2968","ZNF189"
"2969","DERL3"
"2970","SEC14L2"
"2971","NPIPB10P"
"2972","QKI"
"2973","DPEP2NB"
"2974","TRIM68"
"2975","PRR14L"
"2976","SPG7"
"2977","PFN3"
"2978","BTRC"
"2979","CASC4"
"2980","ISLR"
"2981","AC010931.3"
"2982","ZG16"
"2983","PABPC1"
"2984","PGM5"
"2985","PITX1"
"2986","IPO9"
"2987","PEAK1"
"2988","MMP8"
"2989","TLE2"
"2990","B4GALT6"
"2991","REXO5"
"2992","DIRAS2"
"2993","DCUN1D4"
"2994","SIN3B"
"2995","RAET1L"
"2996","HOXB-AS1"
"2997","PPIP5K1"
"2998","VOPP1"
"2999","SEMA4D"
"3000","TBC1D3G"
"3001","TBC1D3B"
"3002","WBP1"
"3003","ZNF707"
"3004","LDLRAD4"
"3005","SNAP23"
"3006","AC018362.3"
"3007","BASP1"
"3008","NKX1-1"
"3009","RTL8C"
"3010","PHF20"
"3011","CHMP6"
"3012","FBXO33"
"3013","AL590556.3"
"3014","PTPN18"
"3015","AC115618.1"
"3016","SLN"
"3017","LNP1"
"3018","EZH1"
"3019","TAFA2"
"3020","PTH2R"
"3021","AC019185.2"
"3022","DPY19L3"
"3023","USP41"
"3024","AC073111.3"
"3025","AC016705.2"
"3026","AC107081.2"
"3027","CCT4"
"3028","ATG16L1"
"3029","CD2BP2"
"3030","TTN-AS1"
"3031","TMEM65"
"3032","MBOAT1"
"3033","DNAJA2"
"3034","EME1"
"3035","SPHK2"
"3036","AC068946.1"
"3037","ACCS"
"3038","NLRC3"
"3039","GEM"
"3040","UQCR11"
"3041","AC046143.1"
"3042","LSG1"
"3043","FAM104A"
"3044","ZNF865"
"3045","MRC1"
"3046","HSCB"
"3047","BBS7"
"3048","CNEP1R1"
"3049","MT3"
"3050","IFI35"
"3051","NKX2-5"
"3052","CIAPIN1"
"3053","TYW1"
"3054","PPIL2"
"3055","TJP3"
"3056","B4GALT2"
"3057","RBCK1"
"3058","DNASE2"
"3059","CAND1"
"3060","AC010997.3"
"3061","ZNF503"
"3062","PUM2"
"3063","HGH1"
"3064","HSPB2-C11orf52"
"3065","PODXL2"
"3066","COA4"
"3067","TMEM151A"
"3068","AMIGO1"
"3069","NSUN5"
"3070","CHORDC1"
"3071","SOCS2"
"3072","HESX1"
"3073","OTP"
"3074","CLEC4C"
"3075","TMX2"
"3076","EMC2"
"3077","GPANK1"
"3078","AC096564.1"
"3079","BSN"
"3080","XIRP1"
"3081","LIME1"
"3082","LRIG1"
"3083","TRMT10A"
"3084","EGR3"
"3085","AC055854.1"
"3086","ASF1A"
"3087","C11orf21"
"3088","ADGRG4"
"3089","DAO"
"3090","ELP3"
"3091","GLOD5"
"3092","ZNF235"
"3093","CDKAL1"
"3094","TRIR"
"3095","ARSJ"
"3096","AC021733.4"
"3097","CCN3"
"3098","DPYS"
"3099","GLTP"
"3100","ARHGDIB"
"3101","SMARCA2"
"3102","UBE2G2"
"3103","CHTOP"
"3104","ZMYM1"
"3105","KHNYN"
"3106","ZNF280A"
"3107","GKAP1"
"3108","ATP6V1G2-DDX39B"
"3109","CD1C"
"3110","ARFGAP2"
"3111","HINT1"
"3112","PGM1"
"3113","BUB1B"
"3114","CCND1"
"3115","SAMD1"
"3116","APLNR"
"3117","HEXIM2"
"3118","AC107068.2"
"3119","NFXL1"
"3120","AC005020.2"
"3121","ZNF655"
"3122","ANAPC7"
"3123","ABCA10"
"3124","AL139807.1"
"3125","FRMD8"
"3126","ZNF222"
"3127","MCOLN3"
"3128","WDFY4"
"3129","AL356481.1"
"3130","GLE1"
"3131","SELENOF"
"3132","CRTAM"
"3133","IKBKB"
"3134","CCR4"
"3135","ZSWIM8-AS1"
"3136","SNX7"
"3137","PCYOX1"
"3138","AC022400.5"
"3139","SPNS3"
"3140","PPM1B"
"3141","FZD6"
"3142","TUBB"
"3143","TUBA1A"
"3144","TMEM239"
"3145","DHX32"
"3146","CYP2C9"
"3147","PAGR1"
"3148","RGS14"
"3149","NDUFA6-DT"
"3150","CYP2D6"
"3151","EHMT1"
"3152","SNRPE"
"3153","CLIP1"
"3154","YIPF3"
"3155","PTH1R"
"3156","LINC01560"
"3157","RASA1"
"3158","ZMYND10"
"3159","ZMYND10-AS1"
"3160","GLB1L3"
"3161","CSK"
"3162","MARCKS"
"3163","PLCB1"
"3164","ANP32A"
"3165","SS18"
"3166","SLC25A12"
"3167","ZNF654"
"3168","SFRP4"
"3169","SLC25A19"
"3170","FCHSD1"
"3171","SPX"
"3172","ERP27"
"3173","SOX30"
"3174","SLC51A"
"3175","PCYT1A"
"3176","GCLM"
"3177","AL391422.2"
"3178","AL391422.3"
"3179","FAM50B"
"3180","NCOA7"
"3181","RSBN1"
"3182","TXLNA"
"3183","RNF114"
"3184","RELL2"
"3185","ZC3H4"
"3186","LRRC71"
"3187","PPP1CA"
"3188","HYLS1"
"3189","PRCC"
"3190","DHPS"
"3191","ZNF280C"
"3192","TXNRD2"
"3193","AL691459.1"
"3194","ETV2"
"3195","SAMD9L"
"3196","SFXN3"
"3197","LPXN"
"3198","Z83844.3"
"3199","PRR23C"
"3200","BBS4"
"3201","ZNF529"
"3202","ARMCX6"
"3203","EYA3"
"3204","GNE"
"3205","AC069257.3"
"3206","MSH4"
"3207","TAX1BP1"
"3208","B9D2"
"3209","ZNF560"
"3210","VPS11"
"3211","COL6A3"
"3212","HOXD4"
"3213","FAM90A1"
"3214","ZNF43"
"3215","TANGO2"
"3216","SGSM1"
"3217","ZDHHC19"
"3218","PPP3CB"
"3219","P2RY1"
"3220","CLTA"
"3221","TYW1B"
"3222","ZNF23"
"3223","C16orf70"
"3224","RLIM"
"3225","RSBN1L"
"3226","MCEMP1"
"3227","FAM222B"
"3228","OR2C1"
"3229","RASA2"
"3230","TNXA"
"3231","RBP5"
"3232","RBM12"
"3233","BRD3"
"3234","BRD3OS"
"3235","CCDC117"
"3236","XRN1"
"3237","PTK2B"
"3238","FKRP"
"3239","CEP44"
"3240","PLAC8"
"3241","NIBAN3"
"3242","SAP18"
"3243","PLOD1"
"3244","AC023194.3"
"3245","WIPF2"
"3246","WTAPP1"
"3247","LMF2"
"3248","SCYL3"
"3249","MBD5"
"3250","TMEM187"
"3251","CCL27"
"3252","GFRA2"
"3253","DBNDD2"
"3254","GORASP1"
"3255","FARSA"
"3256","ARMCX2"
"3257","DKC1"
"3258","MMP2"
"3259","BPY2C"
"3260","BPY2"
"3261","BPY2B"
"3262","RMND1"
"3263","AL359706.1"
"3264","GPALPP1"
"3265","AC114956.3"
"3266","SVIP"
"3267","BPNT1"
"3268","PGAP2"
"3269","MRPS10"
"3270","FFAR4"
"3271","AL133373.2"
"3272","OR4F3"
"3273","RADIL"
"3274","TULP4"
"3275","TP53"
"3276","AL117348.2"
"3277","PUS7L"
"3278","LARP4"
"3279","DPPA4"
"3280","WNT2B"
"3281","KMT2A"
"3282","SLC12A8"
"3283","AC245884.11"
"3284","RAB25"
"3285","TGOLN2"
"3286","SREBF2"
"3287","SNAPC3"
"3288","ZFP36L1"
"3289","CCNB3"
"3290","FRG1HP"
"3291","SPP2"
"3292","ZBTB40"
"3293","PTN"
"3294","UNC45A"
"3295","ABCF3"
"3296","COX7A1"
"3297","FAM221A"
"3298","C15orf40"
"3299","TMEM87A"
"3300","AC036103.1"
"3301","AC114546.3"
"3302","AC079594.2"
"3303","LINC02591"
"3304","AC243772.3"
"3305","POLE2"
"3306","AMPD3"
"3307","SLC17A5"
"3308","TLCD4-RWDD3"
"3309","PHACTR3"
"3310","MX2"
"3311","ZSCAN16"
"3312","PLOD2"
"3313","TTLL1"
"3314","SF3B3"
"3315","TRHDE"
"3316","TRAT1"
"3317","CRLF3"
"3318","SUZ12P1"
"3319","KLHL7"
"3320","CDC42EP5"
"3321","CLIP4"
"3322","AL360270.1"
"3323","TEKT3"
"3324","AC005703.7"
"3325","YWHAE"
"3326","NUTM2A"
"3327","NUTM2A-AS1"
"3328","FNTA"
"3329","SPTAN1"
"3330","OR2T1"
"3331","C17orf75"
"3332","AC005899.4"
"3333","KY"
"3334","ZNF468"
"3335","HDDC2"
"3336","PA2G4"
"3337","AC034102.4"
"3338","PLEKHA1"
"3339","NLRC5"
"3340","AKR1E2"
"3341","ZNF260"
"3342","MARF1"
"3343","NXF5"
"3344","FAM81B"
"3345","SP140"
"3346","LSM14A"
"3347","ZNF766"
"3348","AC010320.3"
"3349","DNAI1"
"3350","G2E3"
"3351","NME5"
"3352","IGF2BP3"
"3353","CPED1"
"3354","APOBEC3G"
"3355","SNAPIN"
"3356","ABCA9-AS1"
"3357","ABCA9"
"3358","CCNE1"
"3359","CASC11"
"3360","MYC"
"3361","JAK2"
"3362","C5orf64"
"3363","COPS3"
"3364","SLC25A42"
"3365","GPT"
"3366","UTP6"
"3367","ZNF76"
"3368","B4GAT1"
"3369","ZNF112"
"3370","ZNF449"
"3371","CRYBG2"
"3372","CLSTN3"
"3373","EMSY"
"3374","GOLGA6L17P"
"3375","KLF8"
"3376","MYO19"
"3377","DTX4"
"3378","CYP27A1"
"3379","CGN"
"3380","THAP3"
"3381","GIPC1"
"3382","AL662899.2"
"3383","VPS33B"
"3384","UBN2"
"3385","AC073585.2"
"3386","PANK4"
"3387","SARS2"
"3388","NAXD"
"3389","TMEM104"
"3390","MOB4"
"3391","ZDHHC13"
"3392","MRPS9"
"3393","AC104655.1"
"3394","PSMB9"
"3395","APBA1"
"3396","MKRN2OS"
"3397","TAF6"
"3398","FP565260.2"
"3399","RNF170"
"3400","HSPH1"
"3401","SPANXN1"
"3402","PCBP2"
"3403","NPIPB3"
"3404","DNMBP"
"3405","PPP3CA"
"3406","GBA2"
"3407","STAU2"
"3408","KDM5C"
"3409","CRELD1"
"3410","MAN2B2"
"3411","PKN3"
"3412","ACSS1"
"3413","C9orf16"
"3414","FUT11"
"3415","ABHD17C"
"3416","ARAF"
"3417","UBQLN2"
"3418","POLRMT"
"3419","CACNB1"
"3420","AC004408.1"
"3421","PRSS21"
"3422","TTC28-AS1"
"3423","LTBP4"
"3424","SHOX"
"3425","COX6A1"
"3426","AL135818.1"
"3427","GPHN"
"3428","FCHSD2"
"3429","RD3L"
"3430","CHUK"
"3431","TNNI2"
"3432","MAP3K9"
"3433","ZNF557"
"3434","HDAC5"
"3435","PEX3"
"3436","SWT1"
"3437","ELOC"
"3438","AL161668.3"
"3439","RCOR1"
"3440","CDK2AP1"
"3441","CTSW"
"3442","CRYAB"
"3443","LINC01278"
"3444","SLC25A44"
"3445","CSGALNACT1"
"3446","SPG11"
"3447","SYTL3"
"3448","NFKB1"
"3449","PPEF1"
"3450","RPE"
"3451","KLF3-AS1"
"3452","RHPN1"
"3453","GSKIP"
"3454","NFATC2IP"
"3455","AC109460.2"
"3456","PCMTD1"
"3457","PDHA1"
"3458","EDEM2"
"3459","CSAG4"
"3460","MAGEA12"
"3461","MEMO1"
"3462","AC073842.2"
"3463","CNPY4"
"3464","EEFSEC"
"3465","AL355916.3"
"3466","EEF1AKMT1"
"3467","XPO1"
"3468","AC016727.1"
"3469","TAGLN"
"3470","SEMG1"
"3471","PDE3A"
"3472","GRIPAP1"
"3473","MYLIP"
"3474","AC124312.5"
"3475","AC124312.4"
"3476","ROBO2"
"3477","CENPF"
"3478","RGS5"
"3479","OSTF1"
"3480","AC005324.4"
"3481","AMT"
"3482","CAMK2B"
"3483","PIP5KL1"
"3484","POMZP3"
"3485","AC004980.1"
"3486","ARL2BP"
"3487","RAI2"
"3488","AC072022.1"
"3489","TMLHE"
"3490","TMLHE-AS1"
"3491","CNNM1"
"3492","EFHC1"
"3493","ADCY8"
"3494","AACS"
"3495","ABCC10"
"3496","TGM4"
"3497","VPS16"
"3498","FBXL16"
"3499","CYTH4"
"3500","ISYNA1"
"3501","NLK"
"3502","CT45A5"
"3503","CT45A6"
"3504","CTAGE9"
"3505","TMEM44"
"3506","TMEM44-AS1"
"3507","BIRC3"
"3508","SIGLEC14"
"3509","AC018755.2"
"3510","PTMS"
"3511","PHF14"
"3512","CCM2"
"3513","NECAP2"
"3514","AL121845.3"
"3515","MSR1"
"3516","DAPK2"
"3517","PLCXD2"
"3518","OSBPL1A"
"3519","WDR44"
"3520","ZFHX2-AS1"
"3521","LCE5A"
"3522","GMPR2"
"3523","THPO"
"3524","CBR4"
"3525","SLCO5A1"
"3526","HACD3"
"3527","ZNF703"
"3528","FGFR1OP2"
"3529","SCNN1D"
"3530","ZNF443"
"3531","PRKG1-AS1"
"3532","ZNF740"
"3533","FXYD5"
"3534","AC004623.1"
"3535","PWWP3A"
"3536","NONO"
"3537","RAB35"
"3538","RHOB"
"3539","FADS1"
"3540","WDR1"
"3541","PSCA"
"3542","DCSTAMP"
"3543","SLC66A3"
"3544","PXN-AS1"
"3545","PXN"
"3546","HLA-A"
"3547","TMEM216"
"3548","JAGN1"
"3549","SEPTIN2"
"3550","TLE6"
"3551","RRP15"
"3552","METTL27"
"3553","CPE"
"3554","ATG13"
"3555","HLA-DOA"
"3556","TMEM41A"
"3557","COX11"
"3558","CNTRL"
"3559","ZNF761"
"3560","AC022137.3"
"3561","AC022137.4"
"3562","INTS2"
"3563","CDC25B"
"3564","MAP3K4"
"3565","RLN1"
"3566","JPH2"
"3567","KMT5B"
"3568","TRIM26"
"3569","KLHL13"
"3570","TTL"
"3571","AC018470.1"
"3572","SP9"
"3573","FAM166A"
"3574","TRMT10B"
"3575","H1FX"
"3576","H1FX-AS1"
"3577","GALNT7"
"3578","FGFR2"
"3579","SMC4"
"3580","IQSEC2"
"3581","AC092445.1"
"3582","DKK2"
"3583","ZNF852"
"3584","DLX5"
"3585","GLRX"
"3586","RHOBTB3"
"3587","INTS8"
"3588","UBE2Q2"
"3589","HACD1"
"3590","TTC5"
"3591","SYNJ1"
"3592","ARSF"
"3593","RXFP3"
"3594","POF1B"
"3595","METTL22"
"3596","INHBB"
"3597","GZF1"
"3598","F10"
"3599","XKR7"
"3600","MRFAP1"
"3601","PROK1"
"3602","EGLN2"
"3603","L2HGDH"
"3604","ZBTB3"
"3605","AC005943.1"
"3606","ATOX1"
"3607","SRP54"
"3608","STAC3"
"3609","ZAR1L"
"3610","CLEC2D"
"3611","NUP188"
"3612","RHOBTB1"
"3613","MPPE1"
"3614","JUP"
"3615","PNRC2"
"3616","SHISAL2A"
"3617","APOC3"
"3618","MICALL1"
"3619","TRAPPC3"
"3620","PFKM"
"3621","C5orf56"
"3622","ADCY4"
"3623","PECR"
"3624","LIMA1"
"3625","SMC1A"
"3626","ZNF563"
"3627","AL355987.3"
"3628","AJM1"
"3629","CXCL6"
"3630","NR3C1"
"3631","ANKRD34A"
"3632","AC027796.3"
"3633","SHPK"
"3634","RAD52"
"3635","TBCB"
"3636","PRAMEF4"
"3637","COMMD7"
"3638","ZNF212"
"3639","RMND5B"
"3640","AGPS"
"3641","TLCD1"
"3642","PAAF1"
"3643","SSBP4"
"3644","PPP6R2"
"3645","AL138930.1"
"3646","CD84"
"3647","CD226"
"3648","TSPAN31"
"3649","GPR142"
"3650","LIG3"
"3651","PBLD"
"3652","KMT5A"
"3653","TTYH2"
"3654","AC100786.2"
"3655","CHRNA3"
"3656","KCNK9"
"3657","ZNF599"
"3658","TNNC1"
"3659","FCF1"
"3660","MGST3"
"3661","RAB21"
"3662","NXT2"
"3663","TMEM258"
"3664","DCAF1"
"3665","NFATC2"
"3666","SPRED3"
"3667","AEBP1"
"3668","ZRSR2"
"3669","AL139095.4"
"3670","SSR1"
"3671","PTGER4P2"
"3672","AL845472.1"
"3673","EEF1G"
"3674","AC008038.1"
"3675","BMERB1"
"3676","MACF1"
"3677","DERL1"
"3678","AC104316.1"
"3679","RIN2"
"3680","CTNNAL1"
"3681","ZNF880"
"3682","A2M"
"3683","PHF1"
"3684","IGFALS"
"3685","NUDT17"
"3686","EVI5"
"3687","ARIH2"
"3688","AC137630.2"
"3689","ERBIN"
"3690","TMEM119"
"3691","SGPP1"
"3692","DDX18"
"3693","MTOR"
"3694","AC026202.3"
"3695","TSPAN32"
"3696","PLPP5"
"3697","ARMC2"
"3698","MAGEA3"
"3699","CST6"
"3700","TSHZ2"
"3701","LRRC75B"
"3702","ZNF829"
"3703","C17orf99"
"3704","CATSPER2"
"3705","MAT2A"
"3706","ADGRB2"
"3707","NME4"
"3708","SUCO"
"3709","PIGG"
"3710","ARHGEF2"
"3711","LMO4"
"3712","GRAMD1A"
"3713","LONRF3"
"3714","EPHX1"
"3715","TUBB8P7"
"3716","DKK3"
"3717","C3"
"3718","TOP3B"
"3719","AC245452.1"
"3720","CUX2"
"3721","AHCY"
"3722","TEX22"
"3723","C11orf54"
"3724","VMA21"
"3725","HERC5"
"3726","MYO9B"
"3727","AL136982.6"
"3728","FAM25A"
"3729","HMGN2"
"3730","AC007952.2"
"3731","AC007952.1"
"3732","AC106017.2"
"3733","MINK1"
"3734","CRYL1"
"3735","PIK3CG"
"3736","MAML1"
"3737","DPF2"
"3738","TICAM1"
"3739","ARPC5"
"3740","MRPS28"
"3741","RNF220"
"3742","RPA4"
"3743","RAD51D"
"3744","MYOM1"
"3745","ALG2"
"3746","ZGRF1"
"3747","SPTLC1"
"3748","GNAO1"
"3749","HSDL2"
"3750","CLIC2"
"3751","ADAM11"
"3752","G6PC3"
"3753","AC015631.1"
"3754","PABPC4L"
"3755","WDFY1"
"3756","DYRK1A"
"3757","MAST4"
"3758","FAM92B"
"3759","ADRA2A"
"3760","CSRP1"
"3761","C10orf95"
"3762","RPARP-AS1"
"3763","PIP4K2C"
"3764","NAA50"
"3765","RSF1"
"3766","PLA2G2D"
"3767","LCK"
"3768","GABRR3"
"3769","YWHAQ"
"3770","ACSL3"
"3771","MLXIP"
"3772","NRF1"
"3773","GALNT3"
"3774","ZNF268"
"3775","CIAO3"
"3776","EXOC6B"
"3777","NUTF2"
"3778","AGO4"
"3779","PDCD2L"
"3780","ZNF263"
"3781","KDM5A"
"3782","PCDHGA10"
"3783","TAS2R31"
"3784","THOC6"
"3785","LMAN1L"
"3786","TMEM244"
"3787","DUSP8"
"3788","FAM24A"
"3789","CRB3"
"3790","FBXO22"
"3791","RIT2"
"3792","BCLAF3"
"3793","MRPL15"
"3794","SMURF1"
"3795","SH3BP5-AS1"
"3796","SH3BP5"
"3797","U2AF1L4"
"3798","AD000671.2"
"3799","RNASEH2A"
"3800","THSD8"
"3801","SLC9A7"
"3802","KCNH6"
"3803","TANK"
"3804","AC009299.3"
"3805","ST3GAL2"
"3806","AC012184.1"
"3807","HTRA4"
"3808","ZNF620"
"3809","ASIC4"
"3810","GRHL3"
"3811","FBXO2"
"3812","BARD1"
"3813","CDC40"
"3814","PEBP4"
"3815","MADD"
"3816","SAPCD2"
"3817","RHOC"
"3818","ALKBH5"
"3819","CASZ1"
"3820","AL139423.1"
"3821","POTEB3"
"3822","FJX1"
"3823","TMEM78"
"3824","NKPD1"
"3825","CDK9"
"3826","KCTD19"
"3827","SEC61B"
"3828","DCTD"
"3829","ZNF554"
"3830","DALRD3"
"3831","CCT7"
"3832","TRPV4"
"3833","SEH1L"
"3834","PDP2"
"3835","PDSS2"
"3836","LOX"
"3837","BAG3"
"3838","PTTG2"
"3839","KIAA0586"
"3840","CPEB2"
"3841","AC098829.1"
"3842","AGAP5"
"3843","BMS1P4-AGAP5"
"3844","TAT"
"3845","TAT-AS1"
"3846","AC099482.1"
"3847","SCNN1G"
"3848","DPM2"
