"","turquoise_gene"
"556","CAMP"
"557","PSMA4"
"558","CT62"
"559","CPT2"
"560","MT1A"
"561","OLFML2B"
"562","SYNRG"
"563","AC098483.1"
"564","OR2T29"
"565","OR2T5"
"566","ZNF573"
"567","RNF157"
"568","RNF157-AS1"
"569","LRRC6"
"570","ELK4"
"571","STPG1"
"572","AKAP12"
"573","NIPA1"
"574","AC006967.3"
"575","DBX1"
"576","TACSTD2"
"577","DNTTIP2"
"578","IL2RG"
"579","CBR3"
"580","CBR3-AS1"
"581","IL36B"
"582","TFPI2"
"583","MCC"
"584","USP37"
"585","PCED1B"
"586","PTPRB"
"587","AC025569.1"
"588","PEX12"
"589","ATM"
"590","HIST1H2BF"
"591","VPS13C"
"592","AC009554.1"
"593","TLDC2"
"594","SLC40A1"
"595","RBP4"
"596","ABHD6"
"597","TIPIN"
"598","MOGAT1"
"599","PLCXD1"
"600","HNF1A-AS1"
"601","VIPR1"
"602","HEXIM1"
"603","AC138150.1"
"604","BYSL"
"605","AL390957.1"
"606","CHAC2"
"607","SYNE1"
"608","RPL22L1"
"609","STIP1"
"610","IER2"
"611","H3F3C"
"612","DNAH3"
"613","UTS2"
"614","LINC01948"
"615","FCGR3B"
"616","RGCC"
"617","KIAA1671"
"618","SERTM1"
"619","WSB1"
"620","ZNF253"
"621","SYTL2"
"622","AL355390.1"
"623","TRIM48"
"624","CMTR2"
"625","AL353608.4"
"626","RUNX1"
"627","ACTR3"
"628","RBM4B"
"629","LPAR5"
"630","AC239798.2"
"631","ZNF718"
"632","USP18"
"633","VPS4B"
"634","C9orf72"
"635","SLC16A13"
"636","OR2A2"
"637","ZNF493"
"638","AC010615.4"
"639","SYT4"
"640","ALKAL2"
"641","CSTF3"
"642","SERPINB10"
"643","HUS1"
"644","UBE2L6"
"645","PLGLB1"
"646","EDDM3B"
"647","AC000120.3"
"648","CD300LD"
"649","MAT2B"
"650","AC005082.2"
"651","NUP42"
"652","PCDHB11"
"653","CRABP2"
"654","AL590666.4"
"655","AC126323.1"
"656","ABCD2"
"657","RPH3A"
"658","TIAM1"
"659","ZNF546"
"660","AC084871.1"
"661","AC244502.1"
"662","SLC30A6"
"663","AC005520.5"
"664","PTGR2"
"665","ZNF223"
"666","CARMIL3"
"667","CCDC77"
"668","ZFP3"
"669","PHF21A"
"670","RNF112"
"671","ADAMTS4"
"672","C20orf181"
"673","PPP1R10"
"674","IER5"
"675","ZAP70"
"676","PPP1R35"
"677","AC092849.2"
"678","PUS3"
"679","RAP2A"
"680","BEST3"
"681","KLF2"
"682","EGR1"
"683","SEPTIN6"
"684","SLC20A1"
"685","SVIL-AS1"
"686","PYM1"
"687","NPIPB11"
"688","BTG4"
"689","ST6GAL2"
"690","KCNK1"
"691","AL031663.3"
"692","KRTAP10-10"
"693","TMEM106B"
"694","ZNF773"
"695","FAM110A"
"696","PRODH"
"697","AMOT"
"698","TRIB3"
"699","KRT20"
"700","BBS10"
"701","PSEN1"
"702","AC015911.11"
"703","SLFN12L"
"704","NCOA4"
"705","AP003175.1"
"706","OR2AT4"
"707","MTR"
"708","AC007991.3"
"709","IDO1"
"710","ZNF684"
"711","TOMM7"
"712","MMP19"
"713","KANK1"
"714","NIN"
"715","APOL3"
"716","OR4C15"
"717","ANKRD18A"
"718","MTERF3"
"719","SGCG"
"720","MYO1G"
"721","TRIM38"
"722","SNRNP40"
"723","COL6A1"
"724","CD300A"
"725","POFUT2"
"726","KIF1BP"
"727","C2orf42"
"728","TIA1"
"729","SPCS3"
"730","SMPD3"
"731","FAIM2"
"732","RNF8"
"733","NR2C2AP"
"734","SOCS6"
"735","ACTB"
"736","AC010547.4"
"737","PARP14"
"738","SPIN3"
"739","CCR9"
"740","GCNT4"
"741","MYBPC1"
"742","DUBR"
"743","KIF4B"
"744","THEMIS"
"745","TERF2"
"746","GCNT2P1"
"747","BHLHE41"
"748","ZNF683"
"749","LMOD3"
"750","KRBA2"
"751","POU3F2"
"752","ZNF512"
"753","TEX48"
"754","SRPX"
"755","KLF17"
"756","CCL4"
"757","CARNMT1-AS1"
"758","USPL1"
"759","AC127164.1"
"760","FBXW8"
"761","TNIP3"
"762","YIPF4"
"763","BIRC6"
"764","TBP"
"765","LINC02456"
"766","IGF1"
"767","DENND4C"
"768","PHF23"
"769","MS4A14"
"770","TDRD12"
"771","C2CD2L"
"772","PLEKHF1"
"773","PTPRCAP"
"774","AP000944.5"
"775","NEMP1"
"776","MYSM1"
"777","GLCCI1"
"778","GATAD1"
"779","ADAMTS15"
"780","SAMD14"
"781","WASF1"
"782","TMEM168"
"783","ZFHX2"
"784","FAM215A"
"785","AC007993.3"
"786","MXD1"
"787","MCFD2"
"788","AC016722.2"
"789","TWIST1"
"790","GGH"
"791","FAM83C"
"792","FAM53A"
"793","AC015802.6"
"794","MIR1915HG"
"795","GPM6B"
"796","ZNF623"
"797","MB21D2"
"798","RGS3"
"799","SPC24"
"800","ZNF646"
"801","HARS2"
"802","NCOA5"
"803","ACER2"
"804","AC008750.8"
"805","PEAK3"
"806","ZNF160"
"807","TSEN2"
"808","BRI3BP"
"809","GIMAP7"
"810","P2RX7"
"811","OR6A2"
"812","SMARCAD1"
"813","UTP14C"
"814","CHCHD4"
"815","METTL7A"
"816","EEF1AKNMT"
"817","NPIPB13"
"818","NTN1"
"819","CMSS1"
"820","GATA6"
"821","CES1"
"822","LMAN1"
"823","NPNT"
"824","RAB33A"
"825","LRRIQ1"
"826","ORC4"
"827","PKD1L3"
"828","NAMPTP1"
"829","LBH"
"830","CLMP"
"831","AP000926.2"
"832","TMEM245"
"833","SERAC1"
"834","HHLA2"
"835","FANCE"
"836","SH2D2A"
"837","CADM1"
"838","PIGW"
"839","TRIM66"
"840","PYGO1"
"841","TEX50"
"842","ZNF346"
"843","VNN3"
"844","AC060814.3"
"845","ZBED2"
"846","LITAF"
"847","SYT1"
"848","AC027288.3"
"849","AR"
"850","ZNF816"
"851","AC009126.1"
