ID,GSM4861833,GSM4861834,GSM4861835,GSM4861836,GSM4861837,GSM4861838,GSM4861839,GSM4861840,GSM4861841,GSM4861842,GSM4861843,GSM4861844
ASHGV40000028,3.052754452,3.141068077,3.457532536,3.175005962,3.176851404,3.197336706,3.36683594,3.285037075,3.317207135,5.473598831,5.864875517,4.598392746
ASHGV40000029,2.80447191,2.816672341,3.026503359,2.866950753,2.868827137,2.889655912,2.965747841,2.882577471,2.91528692,2.8049284,3.364543327,2.815754645
ASHGV40000030,11.30355218,11.20523214,10.74283832,11.01691208,11.07716442,11.27184465,11.04018663,10.7443108,10.13439181,10.25106132,10.21897553,10.35293122
ASHGV40000031,3.469541602,3.300786547,3.314550124,3.813387751,2.822423666,3.441275338,2.883558346,2.801814345,4.387356571,2.725496952,2.730116067,2.736137528
ASHGV40000032,5.169012389,5.437347362,5.495459791,5.567411785,5.294736654,5.20025748,5.478343732,5.40686862,5.411701692,5.500305987,5.643696757,6.025027451
ASHGV40000033,2.917199653,2.843481188,2.917178161,2.665502433,2.667346379,3.369877476,2.756102634,3.263449463,2.706514028,3.055698933,2.981484156,2.608702361
ASHGV40000035,6.620107749,6.649243933,6.999857501,6.852960068,6.642859229,6.763132532,6.460385025,6.628846408,6.811170858,6.836688387,6.932430838,6.962352742
ASHGV40000036,3.009499922,3.160514275,2.872298964,2.750530156,2.752390089,3.546545561,2.82409669,2.741655499,2.774078175,3.066403011,2.669345711,2.675418527
ASHGV40000037,2.774247404,2.706681744,2.824775403,2.761178168,2.763030607,2.783593589,2.858423873,2.776314829,2.808606877,2.699656628,2.704296371,3.171292549
ASHGV40000039,8.302738345,8.644029554,7.773738856,8.447667172,8.304974934,8.107156725,8.037022408,8.155247745,8.496055064,7.575420786,7.711547073,7.498193087
ASHGV40000040,6.89053046,6.594598618,7.323050525,6.912234347,6.938958329,6.97020547,7.389691945,7.035122218,6.943062931,6.868502393,6.983017855,6.831323548
ASHGV40000041,6.87018253,7.004555004,6.115198967,6.593976167,6.657741207,6.755824653,7.951691232,7.218510474,7.020073768,6.844344305,6.952904678,6.403959099
